trial_idx,seed,return_code,elapsed_s,termination_reason,failure_step,speed_at_failure_fps,speed_at_failure_kts,average_speed_fps,average_speed_kts,average_altitude_ft,average_altitude_msl_ft,percent_below_canyon_top_altitude,backup_steps_used,nominal_progress_fraction,mission_success,summary_json,stderr_tail
0,1337,0,17.504601001739502,mission_success,710,590.9732370928976,350.14204033208574,635.3619191410585,376.4416131798357,-121.62926495436659,6750.918334908914,100.0,77,0.9509651062091583,True,/home/dasc/daniel/jsbsim-gym/output/gatekeeper_trials/trial_summaries/trial_000_summary.json,"/home/dasc/daniel/jsbsim-gym/.venv/lib/python3.13/site-packages/pygame/pkgdata.py:25: UserWarning: pkg_resources is deprecated as an API. See https://setuptools.pypa.io/en/latest/pkg_resources.html. The pkg_resources package is slated for removal as early as 2025-11-30. Refrain from using this package or pin to Setuptools<81.
  from pkg_resources import resource_stream, resource_exists
/home/dasc/daniel/jsbsim-gym/.venv/lib/python3.13/site-packages/gymnasium/spaces/box.py:236: UserWarning: [33mWARN: Box low's precision lowered by casting to float32, current low.dtype=float64[0m
  gym.logger.warn(
/home/dasc/daniel/jsbsim-gym/.venv/lib/python3.13/site-packages/gymnasium/spaces/box.py:306: UserWarning: [33mWARN: Box high's precision lowered by casting to float32, current high.dtype=float64[0m
  gym.logger.warn(
E0510 18:56:19.972016 2361411 cuda_executor.cc:1743] Could not get kernel mode driver version: ( INVALID_ARGUMENT: Version does not match the format X.Y.Z )
E0510 18:56:19.981148 2361274 cuda_executor.cc:1743] Could not get kernel mode driver version: ( INVALID_ARGUMENT: Version does not match the format X.Y.Z )"
1,1338,0,17.313868284225464,mission_success,708,590.5044798388578,349.8643092758414,633.7351588168677,375.4777841207646,-144.8474432971625,6727.7001565661185,100.0,92,0.9511458285964349,True,/home/dasc/daniel/jsbsim-gym/output/gatekeeper_trials/trial_summaries/trial_001_summary.json,"/home/dasc/daniel/jsbsim-gym/.venv/lib/python3.13/site-packages/pygame/pkgdata.py:25: UserWarning: pkg_resources is deprecated as an API. See https://setuptools.pypa.io/en/latest/pkg_resources.html. The pkg_resources package is slated for removal as early as 2025-11-30. Refrain from using this package or pin to Setuptools<81.
  from pkg_resources import resource_stream, resource_exists
/home/dasc/daniel/jsbsim-gym/.venv/lib/python3.13/site-packages/gymnasium/spaces/box.py:236: UserWarning: [33mWARN: Box low's precision lowered by casting to float32, current low.dtype=float64[0m
  gym.logger.warn(
/home/dasc/daniel/jsbsim-gym/.venv/lib/python3.13/site-packages/gymnasium/spaces/box.py:306: UserWarning: [33mWARN: Box high's precision lowered by casting to float32, current high.dtype=float64[0m
  gym.logger.warn(
E0510 18:56:37.448763 2362013 cuda_executor.cc:1743] Could not get kernel mode driver version: ( INVALID_ARGUMENT: Version does not match the format X.Y.Z )
E0510 18:56:37.457845 2361861 cuda_executor.cc:1743] Could not get kernel mode driver version: ( INVALID_ARGUMENT: Version does not match the format X.Y.Z )"
2,1339,0,17.410534143447876,mission_success,704,578.7216709629093,342.88318647413473,635.44158154555,376.4888118600731,-137.17671748428165,6735.370882378999,100.0,65,0.9504506067156315,True,/home/dasc/daniel/jsbsim-gym/output/gatekeeper_trials/trial_summaries/trial_002_summary.json,"/home/dasc/daniel/jsbsim-gym/.venv/lib/python3.13/site-packages/pygame/pkgdata.py:25: UserWarning: pkg_resources is deprecated as an API. See https://setuptools.pypa.io/en/latest/pkg_resources.html. The pkg_resources package is slated for removal as early as 2025-11-30. Refrain from using this package or pin to Setuptools<81.
  from pkg_resources import resource_stream, resource_exists
/home/dasc/daniel/jsbsim-gym/.venv/lib/python3.13/site-packages/gymnasium/spaces/box.py:236: UserWarning: [33mWARN: Box low's precision lowered by casting to float32, current low.dtype=float64[0m
  gym.logger.warn(
/home/dasc/daniel/jsbsim-gym/.venv/lib/python3.13/site-packages/gymnasium/spaces/box.py:306: UserWarning: [33mWARN: Box high's precision lowered by casting to float32, current high.dtype=float64[0m
  gym.logger.warn(
E0510 18:56:54.816085 2362594 cuda_executor.cc:1743] Could not get kernel mode driver version: ( INVALID_ARGUMENT: Version does not match the format X.Y.Z )
E0510 18:56:54.825371 2362442 cuda_executor.cc:1743] Could not get kernel mode driver version: ( INVALID_ARGUMENT: Version does not match the format X.Y.Z )"
3,1340,0,17.498738765716553,mission_success,716,575.3961414524798,340.91286427529155,635.7096203850333,376.64762051713956,-92.5313935362501,6780.016206327031,100.0,58,0.9506683388459984,True,/home/dasc/daniel/jsbsim-gym/output/gatekeeper_trials/trial_summaries/trial_003_summary.json,"/home/dasc/daniel/jsbsim-gym/.venv/lib/python3.13/site-packages/pygame/pkgdata.py:25: UserWarning: pkg_resources is deprecated as an API. See https://setuptools.pypa.io/en/latest/pkg_resources.html. The pkg_resources package is slated for removal as early as 2025-11-30. Refrain from using this package or pin to Setuptools<81.
  from pkg_resources import resource_stream, resource_exists
/home/dasc/daniel/jsbsim-gym/.venv/lib/python3.13/site-packages/gymnasium/spaces/box.py:236: UserWarning: [33mWARN: Box low's precision lowered by casting to float32, current low.dtype=float64[0m
  gym.logger.warn(
/home/dasc/daniel/jsbsim-gym/.venv/lib/python3.13/site-packages/gymnasium/spaces/box.py:306: UserWarning: [33mWARN: Box high's precision lowered by casting to float32, current high.dtype=float64[0m
  gym.logger.warn(
E0510 18:57:12.196383 2363168 cuda_executor.cc:1743] Could not get kernel mode driver version: ( INVALID_ARGUMENT: Version does not match the format X.Y.Z )
E0510 18:57:12.205607 2363025 cuda_executor.cc:1743] Could not get kernel mode driver version: ( INVALID_ARGUMENT: Version does not match the format X.Y.Z )"
4,1341,0,17.583266973495483,mission_success,712,575.7530141383492,341.12430554289233,629.9998157872102,373.26465407078416,-131.08548618929308,6741.462113673988,100.0,70,0.9502046661417617,True,/home/dasc/daniel/jsbsim-gym/output/gatekeeper_trials/trial_summaries/trial_004_summary.json,"/home/dasc/daniel/jsbsim-gym/.venv/lib/python3.13/site-packages/pygame/pkgdata.py:25: UserWarning: pkg_resources is deprecated as an API. See https://setuptools.pypa.io/en/latest/pkg_resources.html. The pkg_resources package is slated for removal as early as 2025-11-30. Refrain from using this package or pin to Setuptools<81.
  from pkg_resources import resource_stream, resource_exists
/home/dasc/daniel/jsbsim-gym/.venv/lib/python3.13/site-packages/gymnasium/spaces/box.py:236: UserWarning: [33mWARN: Box low's precision lowered by casting to float32, current low.dtype=float64[0m
  gym.logger.warn(
/home/dasc/daniel/jsbsim-gym/.venv/lib/python3.13/site-packages/gymnasium/spaces/box.py:306: UserWarning: [33mWARN: Box high's precision lowered by casting to float32, current high.dtype=float64[0m
  gym.logger.warn(
E0510 18:57:29.735149 2363761 cuda_executor.cc:1743] Could not get kernel mode driver version: ( INVALID_ARGUMENT: Version does not match the format X.Y.Z )
E0510 18:57:29.744270 2363598 cuda_executor.cc:1743] Could not get kernel mode driver version: ( INVALID_ARGUMENT: Version does not match the format X.Y.Z )"
5,1342,0,17.43660283088684,mission_success,708,599.391912190234,355.12996853332663,635.7954617087863,376.69848010663895,-138.2221526758649,6734.325447187416,100.0,83,0.9505964006958094,True,/home/dasc/daniel/jsbsim-gym/output/gatekeeper_trials/trial_summaries/trial_005_summary.json,"/home/dasc/daniel/jsbsim-gym/.venv/lib/python3.13/site-packages/pygame/pkgdata.py:25: UserWarning: pkg_resources is deprecated as an API. See https://setuptools.pypa.io/en/latest/pkg_resources.html. The pkg_resources package is slated for removal as early as 2025-11-30. Refrain from using this package or pin to Setuptools<81.
  from pkg_resources import resource_stream, resource_exists
/home/dasc/daniel/jsbsim-gym/.venv/lib/python3.13/site-packages/gymnasium/spaces/box.py:236: UserWarning: [33mWARN: Box low's precision lowered by casting to float32, current low.dtype=float64[0m
  gym.logger.warn(
/home/dasc/daniel/jsbsim-gym/.venv/lib/python3.13/site-packages/gymnasium/spaces/box.py:306: UserWarning: [33mWARN: Box high's precision lowered by casting to float32, current high.dtype=float64[0m
  gym.logger.warn(
E0510 18:57:47.280144 2364338 cuda_executor.cc:1743] Could not get kernel mode driver version: ( INVALID_ARGUMENT: Version does not match the format X.Y.Z )
E0510 18:57:47.289296 2364187 cuda_executor.cc:1743] Could not get kernel mode driver version: ( INVALID_ARGUMENT: Version does not match the format X.Y.Z )"
6,1343,0,17.435149431228638,mission_success,700,572.4123021044651,339.14498794560114,638.0564171918195,378.0380594923715,-127.18987160807228,6745.357728255209,100.0,75,0.9510843275102896,True,/home/dasc/daniel/jsbsim-gym/output/gatekeeper_trials/trial_summaries/trial_006_summary.json,"/home/dasc/daniel/jsbsim-gym/.venv/lib/python3.13/site-packages/pygame/pkgdata.py:25: UserWarning: pkg_resources is deprecated as an API. See https://setuptools.pypa.io/en/latest/pkg_resources.html. The pkg_resources package is slated for removal as early as 2025-11-30. Refrain from using this package or pin to Setuptools<81.
  from pkg_resources import resource_stream, resource_exists
/home/dasc/daniel/jsbsim-gym/.venv/lib/python3.13/site-packages/gymnasium/spaces/box.py:236: UserWarning: [33mWARN: Box low's precision lowered by casting to float32, current low.dtype=float64[0m
  gym.logger.warn(
/home/dasc/daniel/jsbsim-gym/.venv/lib/python3.13/site-packages/gymnasium/spaces/box.py:306: UserWarning: [33mWARN: Box high's precision lowered by casting to float32, current high.dtype=float64[0m
  gym.logger.warn(
E0510 18:58:04.717675 2364912 cuda_executor.cc:1743] Could not get kernel mode driver version: ( INVALID_ARGUMENT: Version does not match the format X.Y.Z )
E0510 18:58:04.726814 2364767 cuda_executor.cc:1743] Could not get kernel mode driver version: ( INVALID_ARGUMENT: Version does not match the format X.Y.Z )"
7,1344,0,15.738971471786499,terrain_collision,599,493.13285673502065,292.17320476535906,644.3170813417682,381.7474012725178,-173.6548042441791,6698.892795619102,100.0,132,0.817179559764368,False,/home/dasc/daniel/jsbsim-gym/output/gatekeeper_trials/trial_summaries/trial_007_summary.json,"/home/dasc/daniel/jsbsim-gym/.venv/lib/python3.13/site-packages/pygame/pkgdata.py:25: UserWarning: pkg_resources is deprecated as an API. See https://setuptools.pypa.io/en/latest/pkg_resources.html. The pkg_resources package is slated for removal as early as 2025-11-30. Refrain from using this package or pin to Setuptools<81.
  from pkg_resources import resource_stream, resource_exists
/home/dasc/daniel/jsbsim-gym/.venv/lib/python3.13/site-packages/gymnasium/spaces/box.py:236: UserWarning: [33mWARN: Box low's precision lowered by casting to float32, current low.dtype=float64[0m
  gym.logger.warn(
/home/dasc/daniel/jsbsim-gym/.venv/lib/python3.13/site-packages/gymnasium/spaces/box.py:306: UserWarning: [33mWARN: Box high's precision lowered by casting to float32, current high.dtype=float64[0m
  gym.logger.warn(
E0510 18:58:22.136143 2365499 cuda_executor.cc:1743] Could not get kernel mode driver version: ( INVALID_ARGUMENT: Version does not match the format X.Y.Z )
E0510 18:58:22.145595 2365338 cuda_executor.cc:1743] Could not get kernel mode driver version: ( INVALID_ARGUMENT: Version does not match the format X.Y.Z )"
8,1345,0,17.43643856048584,mission_success,705,570.7222916127838,338.1436841900355,634.2602067708416,375.7888665020598,-142.07807225659508,6730.469527606686,100.0,92,0.9504850009615358,True,/home/dasc/daniel/jsbsim-gym/output/gatekeeper_trials/trial_summaries/trial_008_summary.json,"/home/dasc/daniel/jsbsim-gym/.venv/lib/python3.13/site-packages/pygame/pkgdata.py:25: UserWarning: pkg_resources is deprecated as an API. See https://setuptools.pypa.io/en/latest/pkg_resources.html. The pkg_resources package is slated for removal as early as 2025-11-30. Refrain from using this package or pin to Setuptools<81.
  from pkg_resources import resource_stream, resource_exists
/home/dasc/daniel/jsbsim-gym/.venv/lib/python3.13/site-packages/gymnasium/spaces/box.py:236: UserWarning: [33mWARN: Box low's precision lowered by casting to float32, current low.dtype=float64[0m
  gym.logger.warn(
/home/dasc/daniel/jsbsim-gym/.venv/lib/python3.13/site-packages/gymnasium/spaces/box.py:306: UserWarning: [33mWARN: Box high's precision lowered by casting to float32, current high.dtype=float64[0m
  gym.logger.warn(
E0510 18:58:37.944271 2366053 cuda_executor.cc:1743] Could not get kernel mode driver version: ( INVALID_ARGUMENT: Version does not match the format X.Y.Z )
E0510 18:58:37.953541 2365889 cuda_executor.cc:1743] Could not get kernel mode driver version: ( INVALID_ARGUMENT: Version does not match the format X.Y.Z )"
9,1346,0,18.963249444961548,mission_success,796,517.9021262754223,306.8485944954837,608.9144814643807,360.7719360972981,119.18504289359953,6991.7326427568805,87.45294855708909,168,0.9505210595741342,True,/home/dasc/daniel/jsbsim-gym/output/gatekeeper_trials/trial_summaries/trial_009_summary.json,"/home/dasc/daniel/jsbsim-gym/.venv/lib/python3.13/site-packages/pygame/pkgdata.py:25: UserWarning: pkg_resources is deprecated as an API. See https://setuptools.pypa.io/en/latest/pkg_resources.html. The pkg_resources package is slated for removal as early as 2025-11-30. Refrain from using this package or pin to Setuptools<81.
  from pkg_resources import resource_stream, resource_exists
/home/dasc/daniel/jsbsim-gym/.venv/lib/python3.13/site-packages/gymnasium/spaces/box.py:236: UserWarning: [33mWARN: Box low's precision lowered by casting to float32, current low.dtype=float64[0m
  gym.logger.warn(
/home/dasc/daniel/jsbsim-gym/.venv/lib/python3.13/site-packages/gymnasium/spaces/box.py:306: UserWarning: [33mWARN: Box high's precision lowered by casting to float32, current high.dtype=float64[0m
  gym.logger.warn(
E0510 18:58:55.360197 2366617 cuda_executor.cc:1743] Could not get kernel mode driver version: ( INVALID_ARGUMENT: Version does not match the format X.Y.Z )
E0510 18:58:55.369261 2366474 cuda_executor.cc:1743] Could not get kernel mode driver version: ( INVALID_ARGUMENT: Version does not match the format X.Y.Z )"
